"","AVG SCORE","PROX TRANSIT","POPULATION","AMENITIES","AVG TIME","BUS STOPS","AVG BUS FREQ","AVG AMENITY POPULARITY"
"Burnaby",0.164081317403582,0.0238269760696157,193582,21,29.0163945824179,909,31.4188971299581,0.377915139085019
"Coquitlam",0.120927721882867,0.0114352112676056,119514,7,37.5462331854737,615,23.7156954887218,0.487968479372687
"Delta",0.0915305728127737,0.0065608442503639,95375,5,51.3369293248133,498,17.6962134251291,0.441691987704313
"Langley",0.090336686005629,0.00931569008763017,61669.5,19.5,38.8802987548385,223.5,18.6827021648676,0.390072174676207
"Maple Ridge",0.0787651932165479,0.00695886214442013,73922,7,38.5133360432757,385,10.3798363095238,0.30189982402804
"New Westminster",0.215310909983302,0.0286539347408829,61154,80,19.0239650616559,256,31.4462151394422,0.201695092763685
"North Vancouver",0.137678871202184,0.0195257444205752,65020.5,9.5,28.4691432903715,290.5,29.3430990420471,0.405414390933677
"Pitt Meadows",0.0856875314680706,0.00812043010752688,18573,2,40.5081085295494,82,16.5267857142857,0.355935206929039
"Port Coquitlam",0.089500975315581,0.0134387005649718,48650,1,46.0450768438856,222,22.4602456367162,0.540040216455311
"Richmond",0.125499718925068,0.0168892773892774,142976,13,36.483473722408,707,26.2932978069277,0.359718536858617
"Surrey",0.109658134813502,0.00930514040932889,426408,17,40.4740985279613,1353,25.7647993222493,0.304154111424707
"Vancouver",0.232308839633254,0.0530350838481906,605571,195,20.1244056750897,1889,50.0073121921182,0.43978299965611
"West Vancouver",0.120659461946355,0.0104162291169451,39726,5,40.5794700435645,312,20.2617511520737,0.36632258696105
"White Rock",0.113203589855587,0.0165836734693878,19952,4,43.4068894068894,128,22.4743303571429,0.328333072215253
