Index,Latitude,Longitude,ODCAF_Facility_Type,Facility_Name,City,Total_Volumes,Annual_Visitors,Total_Space,Hrs_per_Year,Days_per_Year,Weight
1840,49.23,-123.01,library or archives,Bob Prittie Metrotown Library,burnaby,0.313325054,0.387314834,0.156199989,3612,339,0.285613292
1936,49.28,-123.07,library or archives,Britannia,vancouver,0.00451019,0.006400815,0.002924783,1030,206,0.004611929
1964,49.08,-122.67,library or archives,Brookswood Library,langley,0.019496533,0.046008674,0.009933227,2885,301,0.025146144
2090,49.25,-122.9,library or archives,Cameron,coquitlam,0.048484331,0.127244365,0.01249931,2901,341,0.062742669
2093,49.25,-122.9,library or archives,Cameron Library,burnaby,0.048484331,0.127244365,0.01249931,2901,341,0.062742669
2359,49.28,-123.12,library or archives,Central Branch,vancouver,0.005879732,0.006630322,0.002234976,1030,206,0.00491501
2359,49.28,-123.12,library or archives,Central Branch,vancouver,0.000595159,0.002675339,0.000827769,1030,206,0.001366089
2581,49.22,-123.04,library or archives,Champlain Heights,vancouver,0.014190825,0.001224729,0.007146405,1876,257,0.007520653
2721,49.16,-123.14,library or archives,City of Richmond Archives,richmond,0.053459489,0.027103604,0.035262955,2649,326,0.038608683
2823,49.24,-123.04,library or archives,Collingwood,vancouver,0.038585584,0.125695839,0.024557144,3227,354,0.062946189
2880,49.25,-122.85,library or archives,Coquitlam Public Library,north vancouver,0,0.00521805,0,715,204,0.00173935
3232,49.25,-123.19,library or archives,Dunbar,vancouver,0.016861432,0.195551498,0.004607913,4357,364,0.072340281
3775,49.26,-123.14,library or archives,Firehall Branch,surrey,1,1,1,3369,355,1
3973,49.22,-123.07,library or archives,Fraserview,vancouver,0.043498183,0.086944358,0.021052922,2570,309,0.050498488
4442,49.19,-122.8,library or archives,Guildford,maple ridge,0.06433636,0.132572247,0.033772971,3422,346,0.076893859
4537,49.28,-123.05,library or archives,Hastings,vancouver,0.016189342,0.036126914,0.01321671,2419,309,0.021844322
4982,49.29,-123.14,library or archives,Joe Fortes,vancouver,0.031951758,0.074669093,0.016086309,2364,309,0.040902387
5134,49.25,-123.08,library or archives,Kensington,vancouver,0.023175698,0.08017312,0.016665747,2468,309,0.040004855
5139,49.23,-123.16,library or archives,Kerrisdale,vancouver,0.023197678,0.066875693,0.020390707,2570,309,0.036821359
5212,49.26,-123.17,library or archives,Kitsilano,vancouver,0.035735753,0.080314554,0.022377352,2556,309,0.046142553
5570,49.22,-122.6,library or archives,Library,maple ridge,0.022500226,0.09290999,0.030434303,3101,345,0.04861484
5572,49.02,-122.8,library or archives,Library,white rock,0.02264648,0.212657812,0.019976822,3101,345,0.085093705
5792,49.21,-122.92,library or archives,Main Branch,langley,0.018240274,0.005651679,0.007367143,1300,298,0.010419698
5988,49.21,-123.14,library or archives,Marpole,vancouver,0.03143353,0.155370649,0.011230065,3061,354,0.066011415
6064,49.28,-123,library or archives,Mcgill Library,burnaby,0.136370054,0.227335391,0.050990563,3329,341,0.138232003
6347,49.26,-123.1,library or archives,Mount Pleasant,vancouver,0.040830112,0.082851049,0.017962585,2573,309,0.047214582
6383,49.12,-122.66,library or archives,Muriel Arnason Library (Willowbrook),langley,0.039933991,0.090560003,0.038132553,3029,345,0.056208849
6388,49.09,-122.61,library or archives,Murrayville Library,langley,0.001974001,0.001536092,0.000938138,816,205,0.001482744
6886,49.21,-122.92,library or archives,New Westminster Public Library,new-westminster,0.018240274,0.005651679,0.007367143,1300,298,0.010419698
7046,49.26,-123.14,library or archives,Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,vancouver,1,1,1,3369,355,1
7212,49.28,-123.12,library or archives,Outreach Services,vancouver,0.005879732,0.006630322,0.002234976,1030,206,0.00491501
7212,49.28,-123.12,library or archives,Outreach Services,vancouver,0.000595159,0.002675339,0.000827769,1030,206,0.001366089
7420,49.22,-122.69,library or archives,Pitt Meadows Public Library,langley,0.024668668,0.047554091,0.014292809,3061,345,0.028838523
7514,49.28,-122.83,library or archives,Port Moody Public Library,new-westminster,0.002960578,0,0.002055626,459,102,0.001672068
8202,49.04,-122.8,library or archives,Semiahmoo Library,vancouver,0.008757462,0.003206883,0.002731637,1284,257,0.004898661
8405,49.23,-123.09,library or archives,South Hill,vancouver,0.047754754,0.204663399,0.027895811,3931,354,0.093437988
8653,49.28,-123.09,library or archives,Strathcona Branch,richmond,0.033979864,0.112914933,0.014292809,2601,309,0.053729202
9122,49.28,-123,library or archives,Tommy Douglas Branch,vancouver,0.136370054,0.227335391,0.050990563,3329,341,0.138232003
9123,49.22,-122.95,library or archives,Tommy Douglas Library,burnaby,0.074427011,0.199581085,0.044575355,3329,341,0.106194484
9360,49.28,-123.12,library or archives,Vancouver Public Library,vancouver,0.005879732,0.006630322,0.002234976,1030,206,0.00491501
9360,49.28,-123.12,library or archives,Vancouver Public Library,vancouver,0.000595159,0.002675339,0.000827769,1030,206,0.001366089
9441,49.28,-123.05,library or archives,Vivo Media Arts Centre,vancouver,0.016189342,0.036126914,0.01321671,2419,309,0.021844322
