"","CSDNAME","NUM_BUS","AVG_BUS_FREQ"
"1","Anmore",26,31.8736263736264
"2","Belcarra",6,20.4285714285714
"3","Bowen Island",23,12.8385093167702
"4","Burnaby",896,62.9110204081633
"5","Burrard Inlet 3",2,26.9285714285714
"6","Coquitlam",614,47.4974154135338
"7","Coquitlam 1",2,26.5714285714286
"8","Coquitlam 2",5,33.3142857142857
"9","Delta",499,35.2837102776983
"10","Greater Vancouver A",56,107.869897959184
"11","Langley",448,33.8350910834132
"12","Langley 5",2,3.71428571428571
"13","Lions Bay",5,19.8857142857143
"14","Maple Ridge",385,20.288318452381
"15","Musqueam 2",1,87.4285714285714
"16","New Westminster",257,62.5266439909297
"17","North Vancouver",581,54.362315270936
"18","Pitt Meadows",82,32.8285714285714
"19","Port Coquitlam",221,44.8644859813084
"20","Port Moody",148,53.7906066536204
"21","Richmond",700,52.4153972828324
"22","Surrey",1353,51.3812705483084
"23","Tsawwassen",12,18.8095238095238
"24","Vancouver",1876,100.136669502668
"25","West Vancouver",310,40.5115207373272
"26","White Rock",127,46.3501170960187
"27","Whonnock 1",1,3.71428571428571
"28",NA,203,28.3212508884151
