"","csd_score","prox_transit","population","Amenity_num","time_to_nearest1","NUM_BUS","AVG_BUS_FREQ"
"Burnaby",0.789559905974587,0.575906295424624,0.310826620630371,-0.126071062093191,-0.804467030014911,0.602994382588307,0.739388440285598
"Coquitlam",-0.124277277100526,-0.428103959596862,-0.125878348397553,-0.394657237856946,0.11767929082458,0.0355040792608609,-0.0764816804342058
"Delta",-0.746802644280131,-0.823036767816019,-0.268201905768685,-0.433026691537483,1.60856795806754,-0.195919271386856,-0.722975287029301
"Langley",-0.772084851789999,-0.599832606357925,-0.466929552438917,-0.154848152353594,0.261902846954667,-0.298550496456713,-0.799653333296233
"Maple Ridge",-1.01712724621277,-0.790788411451985,-0.394688805651982,-0.394657237856946,0.222231133326733,-0.425330245072419,-1.51670862475433
"New Westminster",1.87441751768076,0.966997966703844,-0.469968940724464,1.00582782148263,-1.8847315634514,-0.682914496228139,0.719042698063743
"North Vancouver",0.230451521798445,0.227410277798541,-0.447172054582723,-0.346695420756276,-0.863629434958242,-0.0309043604902232,0.286889943357865
"Pitt Meadows",-0.870537141454804,-0.69667541257757,-0.721026540311033,-0.490580872058287,0.437882588732948,-1.0350804646051,-0.85293024759297
"Port Coquitlam",-0.78978218369581,-0.265776491918072,-0.543692531650709,-0.509765598898556,1.03647480099835,-0.755360066865686,-0.21584741962792
"Richmond",-0.0274589043170317,0.013797448734862,0.0124536165985742,-0.279548876815337,0.00278617567790691,0.20856849800611,0.183836036465928
"Surrey",-0.362926399557648,-0.600687366383708,1.68356884559791,-0.202809969454264,0.434205825397125,1.52265065429271,0.129097829276264
"Vancouver",2.23437223204435,2.94241665194019,2.7399139928403,3.21207140811348,-1.76576480332808,2.57512380549929,2.70980969029095
"West Vancouver",-0.129958052983879,-0.510664316841621,-0.596308440593913,-0.433026691537483,0.445597360449145,-0.576258517233974,-0.446257779847574
"White Rock",-0.287846476105543,-0.0109633076582993,-0.712895955547174,-0.452211418377751,0.751264851323634,-0.944523501308168,-0.13721026515782
