CSDuid,CSDname,CSDtype,SACtype,CSDpop_2016,CSDtdwell_2016,CSDurdwell_2016,CSDpop_2011c,CSDtdwell_2011c,CSDurdwell_2011c,CSDpop_2011,CSDpop_2011a,CSDtdwell_2011a,CSDurdwell_2011a,CSDarea,CSDadj_2011,a_flag,CSDir_2011,CSDir_2016,CSDrplamx,CSDrplamy,CSDrplat,CSDrplong,PRuid,CDcode,CSDcode,ERcode,CCScode,CMAuid
5915038,Anmore,VL,1,2210,723,688,,,,2092,2092,706,628,27.5461,0,0,0,0,4039765.366,2003553.732,49.341176,-122.841821,59,15,38,20,20,933
5915809,Barnston Island 3,IRI,1,49,16,15,,,,0,47,18,18,0.5836,1,1,0,0,4041263.2,1983586.804,49.18855,-122.695375,59,15,809,20,20,933
5915036,Belcarra,VL,1,643,292,253,,,,644,644,292,268,5.5018,0,0,0,0,4037012.683,2004918.421,49.340428,-122.884139,59,15,36,20,20,933
5915062,Bowen Island,IM,1,3680,1915,1495,,,,3402,3402,1760,1345,50.1352,0,0,0,0,4008366.715,2023796.683,49.368603,-123.35503,59,15,62,20,20,933
5915025,Burnaby,CY,1,232755,98030,92201,,,,223218,223218,91383,86839,90.6118,0,0,0,0,4026908.577,1998506.31,49.246785,-122.965551,59,15,25,20,25,933
5915806,Burrard Inlet 3,IRI,1,1855,932,920,,,,1472,1472,780,729,1.0564,0,0,0,0,4029321.919,2005170.787,49.309947,-122.979314,59,15,806,20,20,933
5915808,Capilano 5,IRI,1,2931,1433,1309,,,,2700,2700,1375,1316,1.7173,0,0,0,0,4020544.284,2011351.743,49.321826,-123.126025,59,15,808,20,20,933
5915034,Coquitlam,CY,1,139284,54393,51325,,,,126456,126804,48279,45733,122.2998,1,1,0,0,4043437.216,1999657.263,49.325619,-122.772011,59,15,34,20,20,933
5915805,Coquitlam 1,IRI,1,54,25,22,,,,39,39,13,13,0.0175,0,0,0,0,4036490.322,1991434.355,49.230963,-122.803658,59,15,805,20,20,933
5915804,Coquitlam 2,IRI,1,0,0,0,,,,5,5,1,1,0.8097,0,0,0,0,4038044.531,1992673.692,49.247361,-122.792733,59,15,804,20,20,933
5915011,Delta,DM,1,102238,37590,35758,,,,99863,99863,35781,34755,180.1981,0,0,0,0,4018820.566,1983232.334,49.091278,-122.965092,59,15,11,20,11,933
5915020,Greater Vancouver A,RDA,1,16133,8542,6103,,,,13035,12988,6046,5024,816.2841,1,1,0,0,4026160.705,2024780.837,49.452304,-123.145167,59,15,20,20,20,933
5915830,Katzie 1,IRI,1,262,83,67,,,,229,229,67,65,0.4239,0,0,0,0,4043477.872,1984350.117,49.20391,-122.673347,59,15,830,20,70,933
5915813,Katzie 2,IRI,1,40,15,15,,,,0,0,1,1,0.3073,0,0,0,0,4044299.325,1982711.585,49.194301,-122.652891,59,15,813,20,1,933
5915001,Langley,DM,1,117285,43720,41982,,,,104177,104177,39114,37237,308.0334,0,0,0,0,4044361.793,1970422.284,49.096665,-122.573799,59,15,1,20,1,933
5915002,Langley,CY,1,25888,12264,11840,,,,25081,25081,11810,11315,10.218,0,0,0,0,4039040.813,1973561.127,49.099417,-122.658322,59,15,2,20,1,933
5915835,Langley 5,IRI,1,0,0,0,,,,0,0,0,0,1.3038,0,0,0,0,4051451.996,1976964.648,49.1784,-122.529293,59,15,835,20,75,933
5915065,Lions Bay,VL,1,1334,547,495,,,,1318,1318,556,507,2.5339,0,0,0,0,4020708.895,2028801.426,49.460997,-123.23781,59,15,65,20,20,933
5915075,Maple Ridge,CY,1,82256,31400,30262,,,,76052,76052,29158,28044,266.7768,0,0,0,0,4055380.869,1983369.382,49.245859,-122.522257,59,15,75,20,75,933
5915825,Matsqui 4,IRI,1,471,286,285,,,,498,498,284,280,0.2802,0,0,0,0,4046066.009,1958065.564,49.005298,-122.474761,59,15,825,20,1,933
5915816,McMillan Island 6,IRI,1,94,32,32,,,,68,68,26,23,1.7837,0,0,0,0,4049112.332,1977590.58,49.173624,-122.561724,59,15,816,20,1,933
5915807,Mission 1,IRI,1,576,178,160,,,,574,574,173,171,0.2776,0,0,0,0,4022681.935,2009382.407,49.315269,-123.087275,59,15,807,20,20,933
5915803,Musqueam 2,IRI,1,1652,615,578,,,,1569,1569,556,544,1.8391,0,0,0,0,4010550.622,2004946.706,49.228514,-123.205565,59,15,803,20,22,933
5915810,Musqueam 4,IRI,1,10,4,4,,,,5,5,2,2,0.5331,0,0,0,0,4007234.601,1986331.105,49.066807,-123.125026,59,15,810,20,11,933
5915029,New Westminster,CY,1,70996,34235,32708,,,,65976,65976,32605,30586,15.6262,0,0,0,0,4027879.215,1993082.148,49.207781,-122.918791,59,15,29,20,25,933
5915046,North Vancouver,DM,1,85935,32624,31116,,,,84412,84412,31741,30553,160.756,0,0,0,0,4030525.731,2011070.361,49.361923,-123.002879,59,15,46,20,20,933
5915051,North Vancouver,CY,1,52898,26426,24645,,,,48196,48196,24206,22789,11.8471,0,0,0,0,4023651.133,2008872.375,49.315331,-123.072195,59,15,51,20,20,933
5915070,Pitt Meadows,CY,1,18573,7356,7194,,,,17736,17736,7013,6718,86.5058,0,0,0,0,4047667.225,1990154.686,49.267696,-122.659527,59,15,70,20,70,933
5915039,Port Coquitlam,CY,1,58612,22586,21753,,,,56342,55958,21327,20461,29.169,1,1,0,0,4040176.458,1992133.184,49.252022,-122.763345,59,15,39,20,20,933
5915043,Port Moody,CY,1,33551,13318,12976,,,,32975,33011,12999,12638,25.8897,1,1,0,0,4035185.969,1999534.191,49.289901,-122.87163,59,15,43,20,20,933
5915015,Richmond,CY,1,198309,77478,73457,,,,190473,190473,71170,67976,129.2666,0,0,0,0,4009819.308,1997723.194,49.168124,-123.167522,59,15,15,20,15,933
5915801,Semiahmoo,IRI,1,120,64,58,,,,108,108,75,63,1.3289,0,0,0,0,4027688.28,1968560.068,49.012028,-122.763864,59,15,801,20,4,933
5915811,Seymour Creek 2,IRI,1,123,40,37,,,,107,107,33,31,0.4904,0,0,0,0,4026271.419,2006497.143,49.307573,-123.024967,59,15,811,20,20,933
5915004,Surrey,CY,1,517887,181159,169964,,,,468251,468251,163986,152847,316.4106,0,0,0,0,4030526.073,1979135.749,49.108054,-122.797133,59,15,4,20,4,933
5915802,Tsawwassen,IRI,1,816,368,323,,,,720,720,319,303,6.577,0,0,0,0,4007763.046,1982693.745,49.040203,-123.095173,59,15,802,20,11,933
5915022,Vancouver,CY,1,631486,309418,283916,,,,603502,603502,286742,264573,114.9713,0,0,0,0,4017956.066,2004232.85,49.254333,-123.111208,59,15,22,20,22,933
5915055,West Vancouver,DM,1,42473,18649,16933,,,,42694,42694,18670,17074,87.2553,0,0,0,0,4018631.096,2017604.895,49.363312,-123.18996,59,15,55,20,20,933
5915007,White Rock,CY,1,19952,10856,10005,,,,19339,19339,10498,9866,5.1249,0,0,0,0,4025281.09,1971248.958,49.023294,-122.810139,59,15,7,20,4,933
5915840,Whonnock 1,IRI,1,0,1,0,,,,0,0,0,0,0.3867,0,0,0,0,4055769.708,1974395.398,49.175904,-122.460442,59,15,840,20,75,933
